country,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
DOM,11008300.0,7162.29175242114,72.889,80.0444107055664,6.126,39.6
ECU,17546065.0,5463.64509649315,72.153,94.6894073486328,6.127,47.3
EGY,109315124.0,3511.11381026379,70.99,83.1626281738281,7.974,
SLV,6234673.0,3997.19279583709,71.061,66.2030334472656,5.008,
GNQ,1716468.0,5764.05502912947,60.708,,8.781,
ERI,3291271.0,,67.133,,6.088,
EST,1329522.0,23933.9939421065,78.5951219512195,112.527702331543,6.956,30.7
SWZ,1192729.0,3442.3216527415,59.692,,32.944,
ETH,118917671.0,905.313175805855,65.371,,3.994,
FRO,52571.0,62236.0866558197,82.8975609756098,,,
FJI,914963.0,4844.42129036462,67.924,90.1190414428711,4.649,
FIN,5529543.0,48828.6846862799,81.9317073170732,143.122909545898,7.759,27.1
FRA,67601110.0,39169.8606000707,82.1756097560976,104.566566467285,8.009,30.7
PYF,279209.0,20746.2720428286,82.217,,12.951,
GAB,2322539.0,6605.80346077565,66.531,,21.27,
GMB,2515733.0,720.335143352133,62.612,,5.892,38.8
GEO,3722716.0,4300.85701291207,72.765,107.726676940918,11.73,34.5
DEU,83160871.0,47379.765194548,81.0414634146342,101.307800292969,3.881,32.4
GHA,31887809.0,2196.54789313621,64.114,73.2740478515625,3.313,
GIB,36173.0,,82.198,116.622688293457,,
GRC,10698599.0,17886.733165236,81.2878048780488,103.615829467773,15.899,33.6
GRL,56367.0,54693.0766804265,71.8507317073171,,,
GRD,116341.0,8968.55890108484,74.924,,,
GUM,162158.0,36482.9363953675,76.612,,6.248,
GTM,17357325.0,4477.61761796418,71.797,51.9058113098145,2.955,
GIN,13371183.0,1053.66097696415,59.327,37.3931079993499,6.018,
GNB,2013255.0,817.780335749159,59.999,,2.89,
GUY,807481.0,6775.70939096303,68.486,85.2426528930664,15.334,
HTI,11243848.0,1290.32538667383,64.052,,15.546,
HND,10119640.0,2307.61494319511,71.462,56.8269882202148,10.982,
HKG,7481000.0,46109.2299946609,85.4963414634146,100.485191345215,5.808,
HUN,9750149.0,16131.9540355923,75.5682926829269,101.993041992188,4.25,29.7
ISL,366463.0,59023.5663465778,83.0634146341463,110.487319946289,5.478,
IND,1402617695.0,1907.04251637669,70.15,77.6271551845716,7.859,33.8
IDN,274814866.0,3853.70288778903,68.808,98.0443013603661,4.255,35.3
IRN,87723443.0,2988.78122414716,74.832,87.0725479125977,9.687,35.8
IRQ,42116605.0,4295.18945121228,69.123,,15.778,
IRL,4985382.0,87567.1148972037,82.5560975609756,135.224670410156,5.623,29.2
IMN,84064.0,79513.5330346598,80.588,,,
ISR,9215100.0,44679.7715799755,82.6487804878049,96.1416931152344,4.169,37.8
ITA,59438851.0,32091.4866621366,82.1951219512195,101.836128234863,9.164,35.2
JAM,2830739.0,4879.44024631319,71.869,85.1645812988281,6.501,
JPN,126261000.0,40040.7655055923,84.56,102.844802856445,2.809,
JOR,10865228.0,4022.0401356135,75.184,90.1993026733398,19.213,
KAZ,19482117.0,8781.50797787648,71.37,94.3694359734055,4.89,28.7
KEN,52217334.0,1927.66459027849,62.675,,5.619,36.2
KIR,126099.0,1769.43211760217,67.266,,,
PRK,26136312.0,,73.274,,2.948,
KOR,51836239.0,31721.2989141857,83.4268292682927,97.0888214111328,3.931,32.7
XKX,1790152.0,4310.88824737367,76.567,,,
KWT,4400267.0,25236.0755520534,76.92,,3.557,
KGZ,6726595.5,1229.51775742135,71.8,93.41607905675,4.63,29.0
LAO,7346533.0,2583.77730696131,68.497,62.4285213803305,2.361,
LVA,1900449.0,17564.2321549354,75.1853658536585,105.956283569336,8.098,35.7
LBN,5702398.0,5561.19166950397,77.804,,13.284,
LSO,2235727.0,918.582577421982,54.693,,18.399,
LBR,5149463.0,616.787867006715,60.948,37.8051300048828,4.109,
LBY,7045399.0,6650.33810585348,72.472,,19.613,
LIE,38901.0,164671.093553454,81.6585365853659,120.228446960449,,
LTU,2794885.0,20541.824988603,74.9780487804878,105.987487792969,8.487,36.0
LUX,630419.0,116905.370396853,82.1439024390244,107.078948974609,6.766,33.4
MAC,685400.0,36976.2561071429,85.184,88.5771789550781,2.566,
MDG,28953556.0,450.771615201509,65.182,,3.284,
MWI,19533888.0,602.507478176106,63.717,,5.728,
MYS,33889558.0,9957.52626697613,75.938,78.5830993652344,4.54,
MDV,502118.0,7393.8886543933,79.875,,5.434,
MLI,21713836.0,804.343956745857,58.633,,3.528,
MLT,515332.0,31796.8213417258,82.3487804878049,102.924011230469,4.347,31.4
MHL,42706.0,5661.96787336674,64.977,113.365058898926,,
MRT,4600131.0,1795.76459566714,64.532,35.8889999389648,11.054,
MUS,1266014.0,9011.04288445023,74.1770731707317,89.5019989013672,8.626,
MEX,126799054.0,8841.27075003163,70.133,102.58154296875,4.44,44.6
FSM,110916.0,3353.8894298388,70.674,,,
MDA,2635130.0,4375.7788930524,70.166,96.17333984375,1.186,
MCO,38050.0,176891.886538492,,,,
MNG,3327204.0,4001.25193077703,72.141,95.9892657742893,6.594,
MNE,621306.0,7677.37132106817,75.9317073170732,92.3578720092773,17.878,35.4
