country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
MEA,2016,452184895.0,7156.79613508213,73.0769114628075,76.5689163208008,10.6970069360405,
MNA,2016,390998434.0,3830.71300891916,72.211025104653,73.9296722412109,12.556017297494,
TMN,2016,386631346.0,3834.13658237327,72.1845606763141,73.6580276489258,12.4417079696535,
MIC,2016,5521012953.5,4566.49285052469,71.5806383997142,76.4657897949219,6.03867353190609,
NAC,2016,359246007.0,56618.0479576143,78.8797301086062,99.890007019043,5.10423603490588,
OED,2016,1339441048.0,36253.8002803221,79.9044036722622,105.767280578613,6.43577834443714,
OSS,2016,13273445.0,12174.1574245522,72.6256409003127,68.4323577880859,8.49858732832695,
PSS,2016,2477794.0,3844.35513216019,68.834464947315,72.4316177368164,3.37055657306124,
PST,2016,1102507839.0,41527.3663304955,80.5348431895951,105.554527282715,6.41371126806,
PRE,2016,895239872.0,1300.83530095102,59.472141296124,41.0868301391602,5.02089106580963,
SST,2016,18738677.0,10942.7122470745,72.0596837789878,71.941650390625,8.35743471426821,
SAS,2016,1809951345.0,1663.62030739425,69.5972508271398,69.2518463134766,6.76215422479501,
TSA,2016,1809951345.0,1663.62030739425,69.5972508271398,69.2518463134766,6.76215422479501,
SSF,2016,1052824144.0,1446.87390976779,60.0271553242519,42.967098236084,5.94167376890049,
SSA,2016,1052729467.0,1445.51408493923,60.0258708215987,42.9640197753906,5.94167376890049,
TSS,2016,1052824144.0,1446.87390976779,60.0271553242519,42.967098236084,5.94167376890049,
WLD,2016,7528523333.5,10188.260064838,72.2979064227925,75.8254699707031,5.97827384301346,
AFG,2016,34700612.0,522.082215583898,63.136,53.5063400268555,10.133,
ALB,2016,2876101.0,4124.05538986272,78.86,99.1707611083984,15.418,33.7
DZA,2016,40850721.0,4424.98529027556,75.732,,10.202,
ASM,2016,52245.0,12843.3342903627,,,,
AND,2016,72181.0,40129.8192007698,,94.2090682983398,,
AGO,2016,29183070.0,1807.95294072643,61.092,53.5814514160156,16.575,
ATG,2016,89969.0,16557.843174789,78.152,,,
ARG,2016,43900313.0,12699.9623137756,76.308,109.645942687988,8.085,42.3
ARM,2016,2992300.0,3524.42476874707,74.664,,17.617,32.5
ABW,2016,108727.0,27441.5296617282,75.617,,,
AUS,2016,24190907.0,49888.0410842736,82.4487804878049,155.594390869141,5.711,33.7
AUT,2016,8736668.0,45061.4993920192,81.6414634146342,100.227989196777,6.064,30.8
AZE,2016,9757812.0,3880.6852276838,72.004,74.922503925884,5.0,
BHS,2016,388055.0,30266.5859220987,73.537,,12.7,
BHR,2016,1423726.0,23800.001440631,79.557,101.839508056641,1.192,
BGD,2016,160811932.0,1649.28380858601,71.09,66.9232483057473,4.35,32.4
BRB,2016,279598.0,19065.8069800213,76.815,108.478012084961,8.247,
BLR,2016,9469379.0,5039.77560949445,73.8268292682927,97.0480880737305,5.844,25.3
BEL,2016,11331422.0,41854.5498296444,81.4390243902439,160.689270019531,7.83,27.6
BLZ,2016,364705.0,6142.49873185177,73.399,87.4975967407227,7.0,
BEN,2016,11697842.0,1010.53389609187,59.539,57.529670715332,1.784,
BMU,2016,63449.0,108747.356144305,80.608,89.7045454545455,,
BTN,2016,747866.0,3152.30905081592,70.602,85.6835174560547,2.705,
BOL,2016,11180020.0,3035.8734778704,67.628,91.8639373779297,3.498,45.2
BIH,2016,3473003.0,4928.5665251728,76.808,82.9606018066406,25.408,
BWA,2016,2234776.0,6749.05994339013,65.464,,19.329,
BRA,2016,203218114.0,8836.28652636996,74.442,102.569511413574,11.58,53.4
VGB,2016,33878.0,,75.724,100.0,,
BRN,2016,427564.0,26663.2973199878,74.733,93.4085998535156,8.574,
BGR,2016,7127822.0,7570.93165511708,74.8121951219512,103.003921508789,7.575,40.6
BFA,2016,19334856.0,663.742364842886,59.326,35.1508483886719,4.587,
BDI,2016,11239451.0,235.286205393908,60.793,48.9952812194824,1.347,
CPV,2016,512554.0,3608.96606551232,75.742,87.7049102783203,12.077,
KHM,2016,15852803.0,1675.19555711109,70.224,,0.716,
CMR,2016,23454161.0,1441.7201725688,60.233,60.4655914306641,3.528,
CAN,2016,36110803.0,42314.0615817218,81.9248780487805,111.770286560059,7.038,32.7
CYM,2016,63100.0,77802.2541567187,,101.77753837867,,
CAF,2016,4713663.0,387.176203444318,53.46,13.6688098907471,5.491,
TCD,2016,15114655.0,668.078636142918,52.083,23.3515090942383,1.047,
CHI,2016,163883.0,55950.1485360363,81.366,,7.715,
CHL,2016,18267221.0,13649.8520455553,80.079,101.488136291504,6.673,
CHN,2016,1387790000.0,8094.39016735149,77.218,,4.56,38.5
COL,2016,47437512.0,5959.84250367574,76.471,98.4156265258789,8.922,50.6
COM,2016,741741.0,1365.48403444497,63.237,,4.104,
COD,2016,83956415.0,442.310472110228,59.066,,4.521,
COG,2016,5222536.0,2093.10728558843,63.577,,20.223,
CRI,2016,4866998.0,12091.0301606154,79.459,119.994560241699,8.085,48.7
CIV,2016,25989405.0,1862.59597081287,58.06,43.8949584960938,1.896,
HRV,2016,4106867.0,12821.1738140304,78.0219512195122,103.719436645508,13.103,30.9
CUB,2016,11265612.0,8110.55873961397,77.643,98.0223770141602,2.0,
CUW,2016,159664.0,18944.0961493998,77.719512195122,,,
CYP,2016,1237112.0,24715.154296875,81.056,99.1193084716797,13.006,32.9
CZE,2016,10566332.0,18753.9686718096,79.0268292682927,103.015083312988,3.952,25.4
DNK,2016,5728010.0,54500.9260410217,80.8536585365854,131.441299438477,5.989,28.2
DJI,2016,1037653.0,2510.4300076241,62.191,,25.992,
DMA,2016,69606.0,8278.44768597003,70.128,,,
DOM,2016,10551430.0,7174.82349574,72.987,80.0944671630859,7.284,45.7
ECU,2016,16505139.0,5917.63771271481,76.763,99.5687026977539,4.597,45.0
EGY,2016,101644589.0,3270.6287768197,70.844,78.5734024047852,12.45,
