country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SL.UEM.TOTL.ZS,SE.SEC.ENRR,SI.POV.GINI
WLD,2023,8061876001,13169.5982250473,4.91657221632923,77.0950164794922,
AFG,2023,41454761,415.707417059086,13.991,,
ALB,2023,2745972,8575.17113446213,10.108,96.1368789672852,
DZA,2023,46164219,5364.02795022731,11.701,102.7021484375,
ASM,2023,47521,,,,
AND,2023,80856,46812.4484486309,,99.7635498046875,
AGO,2023,36749906,2308.15976731274,14.537,,
ATG,2023,93316,21787.1017315914,,,
ARG,2023,45538401,14187.4827252965,6.139,,
ARM,2023,2990900,8053.01066312345,13.245,95.1246490478516,
ABW,2023,107359,33984.7906198041,,,
AUS,2023,26658948,64820.9117890026,3.668,,
AUT,2023,9131761,56033.573792065,5.264,,
AZE,2023,10153958,7125.90858368611,5.636,92.7589111328125,
BHS,2023,399440,35896.50510715,8.643,78.757926940918,
BHR,2023,1577059,29218.8605634137,1.154,99.7823333740234,
BGD,2023,171466990,2551.01772674142,4.454,71.4947068269712,
BRB,2023,282336,23804.0249914995,7.878,105.655097961426,
BLR,2023,9178298,7829.05313660622,3.461,93.5995101928711,
BEL,2023,11787423,54700.9093236712,5.528,,
BLZ,2023,411106,7459.99815132837,8.267,83.3849182128906,
BEN,2023,14111034,1394.37330217623,1.657,,
BMU,2023,64698,125841.602522489,,71.8350524902344,
BTN,2023,786385,,3.126,,
BOL,2023,12244159,3686.27996490544,3.024,92.400520324707,
BIH,2023,3185073,8638.66620201187,10.668,84.2911529541016,
BWA,2023,2480244,7820.23240375076,23.381,,
BRA,2023,211140729,10294.866680778,7.947,,
VGB,2023,38985,,,,
BRN,2023,458949,32962.9065121916,5.183,88.8281131297345,
BGR,2023,6446596,15885.5391311331,4.319,,
BFA,2023,23025776,882.689810086163,5.348,30.9303798675537,
BDI,2023,13689450,193.007145564804,0.921,,
CPV,2023,522331,4850.98415849643,11.971,,
KHM,2023,17423880,2429.74853452838,0.225,60.0614252117159,
CMR,2023,28372687,1736.86091073524,3.613,44.3895797729492,
CAN,2023,40097761,53431.1857063879,5.415,,
CYM,2023,73038,97749.5078960846,,99.2621688842773,
CAF,2023,5152421,495.978897153068,5.877,,
TCD,2023,19319064,680.639877912029,1.074,25.2421398162842,
CHI,2023,167691,74589.1380225191,6.187,,
CHL,2023,19658835,17067.8136150601,9.013,,
CHN,2023,1410710000,12614.0617416421,4.67,,
COL,2023,52321152,6947.35928681966,9.594,,
COM,2023,850387,1590.31237688317,3.776,55.1931973675637,
COD,2023,105789731,627.502181690836,4.484,56.831600189209,
COG,2023,6182885,2477.97845544866,19.898,,
CRI,2023,5105525,16942.0268119375,8.325,,46.7
CIV,2023,31165654,2530.84659301723,2.27,66.0276794433594,
HRV,2023,3859686,21865.4562838641,6.086,,
CUB,2023,11019931,,1.719,95.4401473999023,
CUW,2023,147862,22192.4453028535,,123.429740905762,
CYP,2023,1344976,36551.41796875,6.098,,
CZE,2023,10864042,31591.1770732969,2.579,,
DNK,2023,5946952,68453.8769281145,5.094,,
DJI,2023,1152944,3554.83918868372,26.154,,
DMA,2023,66510,9832.99643050057,,86.1783905029297,
DOM,2023,11331265,10717.6276712204,5.555,72.2825393676758,
ECU,2023,17980083,6609.80408154957,3.51,93.4162673950195,44.6
EGY,2023,114535772,3457.45691570455,7.334,,
SLV,2023,6309624,5391.06926181338,2.992,65.7442016601562,
GNQ,2023,1847549,6677.793435386,8.367,,
ERI,2023,3470390,,5.586,,
EST,2023,1370286,30133.304450454,6.378,,
SWZ,2023,1230506,3610.60879677551,35.086,,
ETH,2023,128691692,1272.01628209211,3.402,,
FRO,2023,54482,71717.7042204698,,,
FJI,2023,924145,5888.73668639357,4.322,95.9080471414581,
FIN,2023,5583911,52925.6897638424,7.151,,
FRA,2023,68287487,44690.9345395117,7.335,,
PYF,2023,281118,,11.749,,
GAB,2023,2484789,7802.83659565049,20.278,,
GMB,2023,2697845,888.157407724123,6.479,,
GEO,2023,3715483,8283.66960242964,11.537,104.344261169434,
DEU,2023,83280000,54343.2265084958,3.068,,
