country,co2,ch4,n2o,co2e_100yr,co2e_20yr
ITA,677764654.3048873,3258622.5470827897,134321.21051886585,845314621.8233469,1057239884.1277112
HND,28781003.583543655,652157.8331042168,17746.71937981443,53094457.41709161,89685564.30383724
JPN,2556953156.841283,3602444.9045809316,148880.2009388436,2748550080.5796556,2993773137.246977
KEN,78176208.67827784,3363895.62497372,114187.87550534036,203347241.77461362,383314236.2351963
MAF,838292.1123990008,91.88405169926823,14.747500291632752,844842.7038806527,849758.7402956897
KNA,965084.3566842744,2472.199184975453,42.100666422290686,1044303.3322247542,1177027.095043852
LBN,46984710.780747876,281110.8066704077,8002.09557685953,62220881.0789887,83721392.841463
LTU,55372774.63148482,179239.1404230701,44109.315164962994,73748481.11456479,84894165.44083685
LBR,7461600.6591312885,225124.85776900023,3087.794956056681,14699602.481019268,26696118.665607937
LAO,62667483.31559782,671881.7759429172,19212.136463509898,86648961.10677326,122499148.3704212
LIE,262909.86739213346,245.80212783265938,26.137695302903733,277059.2570697901,290120.1208276269
LBY,143580359.09144613,1599074.4204460518,11828.098782758572,201262264.22975147,296560121.6841688
LSO,8753806.56872317,98604.62160117326,2916.3671029323227,12325421.720288938,17575645.635979548
KHM,63432743.92107793,1787770.9242760919,30842.815234827995,123215021.5011614,221115637.38314536
LUX,12341985.631325489,40559.00132075637,1607.7667898075865,14055737.21606239,16431991.563245274
MAC,3272970.736635685,3441.3294017548533,449.68572928249444,3491771.6917039384,3675376.799566933
LVA,35334859.22761249,206549.27928861429,17663.688665342648,46844574.61029536,59026788.520792045
KGZ,35555130.80531231,607910.6331560302,11899.893926204286,55610623.644693576,88087929.75749962
KWT,260726201.1476332,2467964.0329641257,6966.841456557757,363491801.8926113,531752687.40455943
LKA,60492080.2513843,865756.8222736703,15828.786128785554,89690561.78646116,137280759.82578436
KOR,1394815413.5698402,2008287.6335960266,100579.75526636801,1523468590.2038307,1667914494.565468
KIR,999995.1036887916,2310.478980709893,81.6322242797007,1085643.5295857885,1209271.3152028248
XKX,20758156.382568523,126460.53144624337,805.9049228853386,24519638.433680773,31256355.241536684
LCA,1732632.688973019,3755.580809484853,100.77881205697722,2031677.8398619972,2520481.844405711
MDG,34942299.00134437,1713908.8070138618,34850.84721916241,93626538.72138467,187389853.3277332
MSR,135530.70834649596,29.449215387343674,4.639335689167546,137617.91455665714,139189.7632845104
MMR,180808355.40351745,3570827.074977545,106663.63737226922,310733494.9205286,503679282.27570623
MRT,17178904.313813716,706372.2871616514,19391.15932006263,43650557.43651649,83109265.02985252
MNE,8924816.835453765,110904.68777782074,873.968745715045,12250961.074177817,18165746.64787834
MHL,864067.8507174312,206.7338846130257,37.12729899437892,879928.1502533654,890981.7146158209
MLT,8471372.2149777,12446.929630730041,752.5022237335222,9599444.277664559,10907106.571618434
MUS,12542956.22431739,59153.77795173236,1568.5040148110404,17295838.548905186,25036242.717741366
MTQ,5529408.871452742,18084.080379529976,1872.9225192808274,6545628.942191659,7510361.532170839
MDV,4878156.85120562,10216.075616030968,318.93899363071273,5244347.42368662,5791479.86447544
MDA,31158438.0077719,199619.46125719463,8511.419899520733,39608194.98791759,51117188.202255905
MWI,23666703.437269475,563505.9823001553,30479.608256992753,48452105.843742244,79468419.25665972
